Pays,Population
Afghanistan,37172386
Angola,30809762
Albania,2866376
United Arab Emirates,9630959
Argentina,44494502
Armenia,2951776
Australia,24992369
Austria,8847037
Azerbaijan,9942334
Burundi,11175378
Belgium,11422068
Benin,11485048
Burkina Faso,19751535
Bangladesh,161356039
Bulgaria,7024216
Bosnia and Herzegovina,3323929
Belarus,9485386
Belize,383071
Bolivia,11353142
Brazil,209469333
Bhutan,754394
Botswana,2254126
Central African Republic,4666377
Canada,37058856
Switzerland,8516543
Chile,18729160
China,1392730000
Cote d'Ivoire,25069229
Cameroon,25216237
Colombia,49648685
Costa Rica,4999441
Cuba,11338138
Cyprus,1189265
Czech Republic,10625695
Germany,82927922
Djibouti,958920
Dominica,71625
Denmark,5797446
Algeria,42228429
Ecuador,17084357
Eritrea,5869970
Spain,46723749
Estonia,1320884
Ethiopia,109224559
Finland,5518050
Fiji,883483
France,66987244
Gabon,2119275
United Kingdom,66488991
Georgia,3731000
Ghana,29767108
Guinea,12414318
Guinea-Bissau,1874309
Equatorial Guinea,1308974
Greece,10727668
Greenland,56025
Guatemala,17247807
Guyana,779004
Honduras,9587522
Croatia,4089400
Haiti,11123176
Hungary,9768785
Indonesia,267663435
India,1352617328
Ireland,4853506
Iraq,38433600
Iceland,353574
Israel,8883800
Italy,60431283
Jamaica,2934855
Jordan,9956011
Japan,126529100
Kazakhstan,18276499
Kenya,51393010
Cambodia,16249798
Kuwait,4137309
Lebanon,6848925
Liberia,4818977
Libya,6678567
Sri Lanka,21670000
Lesotho,2108132
Lithuania,2789533
Luxembourg,607728
Latvia,1926542
Morocco,36029138
Moldova,3545883
Madagascar,26262368
Mexico,126190788
Mali,19077690
Myanmar,53708395
Montenegro,622345
Mongolia,3170208
Mozambique,29495962
Mauritania,4403319
Malawi,18143315
Malaysia,31528585
Namibia,2448255
New Caledonia,284060
Niger,22442948
Nigeria,195874740
Nicaragua,6465513
Netherlands,17231017
Norway,5314336
Nepal,28087871
New Zealand,4885500
Oman,4829483
Pakistan,212215030
Panama,4176873
Peru,31989256
Philippines,106651922
Papua New Guinea,8606316
Poland,37978548
Puerto Rico,3195153
Portugal,10281762
Paraguay,6956071
Qatar,2781677
Romania,19473936
Rwanda,12301939
Saudi Arabia,33699947
Sudan,41801533
Senegal,15854360
Solomon Islands,652858
Sierra Leone,7650154
El Salvador,6420744
Somalia,15008154
Serbia,6982084
South Sudan,10975920
Suriname,575991
Slovenia,2067372
Sweden,10183175
Chad,15477751
Togo,7889094
Thailand,69428524
Tajikistan,9100837
Turkmenistan,5850908
Trinidad and Tobago,1389858
Tunisia,11565204
Turkey,82319724
Tanzania,56318348
Uganda,42723139
Ukraine,44622516
Uruguay,3449299
United States,327167434
Uzbekistan,32955400
Vietnam,95540395
Vanuatu,292680
Kosovo,1845300
South Africa,57779622
Zambia,17351822
Zimbabwe,14439018
